Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
01.08.2018;158,86;158,86;158,86;158,86;0
02.08.2018;156,49;156,49;156,49;156,49;0
03.08.2018;157,36;157,36;157,36;157,36;0
06.08.2018;157,14;157,14;157,14;157,14;0
07.08.2018;157,75;157,75;157,75;157,75;0
08.08.2018;157,57;157,57;157,57;157,57;0
09.08.2018;158,11;158,11;158,11;158,11;0
10.08.2018;155,04;155,04;155,04;155,04;0
13.08.2018;154,24;154,24;154,24;154,24;0
14.08.2018;154,27;154,27;154,27;154,27;0
15.08.2018;151,91;151,91;151,91;151,91;0
16.08.2018;152,76;152,76;152,76;152,76;0
17.08.2018;152,42;152,42;152,42;152,42;0
20.08.2018;153,89;153,89;153,89;153,89;0
21.08.2018;154,52;154,52;154,52;154,52;0
22.08.2018;154,53;154,53;154,53;154,53;0
23.08.2018;154,28;154,28;154,28;154,28;0
24.08.2018;154,62;154,62;154,62;154,62;0
27.08.2018;156,38;156,38;156,38;156,38;0
28.08.2018;156,25;156,25;156,25;156,25;0
29.08.2018;156,68;156,68;156,68;156,68;0
30.08.2018;155,88;155,88;155,88;155,88;0
31.08.2018;154,32;154,32;154,32;154,32;0
03.09.2018;154,09;154,09;154,09;154,09;0
04.09.2018;152,39;152,39;152,39;152,39;0
05.09.2018;150,26;150,26;150,26;150,26;0
06.09.2018;149,21;149,21;149,21;149,21;0
07.09.2018;149,28;149,28;149,28;149,28;0
10.09.2018;149,57;149,57;149,57;149,57;0
11.09.2018;149,37;149,37;149,37;149,37;0
12.09.2018;150,15;150,15;150,15;150,15;0
13.09.2018;150,43;150,43;150,43;150,43;0
14.09.2018;151,30;151,30;151,30;151,30;0
17.09.2018;150,95;150,95;150,95;150,95;0
18.09.2018;151,71;151,71;151,71;151,71;0
19.09.2018;152,47;152,47;152,47;152,47;0
20.09.2018;153,81;153,81;153,81;153,81;0
21.09.2018;155,12;155,12;155,12;155,12;0
24.09.2018;154,11;154,11;154,11;154,11;0
25.09.2018;154,41;154,41;154,41;154,41;0
26.09.2018;154,55;154,55;154,55;154,55;0
27.09.2018;155,18;155,18;155,18;155,18;0
28.09.2018;152,80;152,80;152,80;152,80;0
01.10.2018;153,95;153,95;153,95;153,95;0
02.10.2018;153,30;153,30;153,30;153,30;0
04.10.2018;152,75;152,75;152,75;152,75;0
05.10.2018;151,09;151,09;151,09;151,09;0
08.10.2018;149,03;149,03;149,03;149,03;0
