year,gold
2019,17.74%
2018,-1.15%
2017,12.57%
2016,8.63%
2015,-11.59%
2014,-0.19%
2013,-27.79%
2012,5.68%
2011,11.65%
2010,27.74%
2009,27.63%
2008,3.41%
2007,31.59%
2006,23.92%
2005,17.12%
2004,4.97%
2003,21.74%
2002,23.96%
2001,1.41%
2000,-6.26%
1999,1.18%
1998,-0.61%
1997,-21.74%
1996,-4.43%
1995,1.10%
1994,-2.09%
1993,17.35%
1992,-5.80%
1991,-9.62%
1990,-2.49%
1989,-2.23%
1988,-15.69%
1987,24.46%
1986,19.54%
1985,5.83%
1984,-19.00%
1983,-14.84%
1982,12.00%
1981,-32.15%
1980,12.50%
1979,133.41%
1978,35.57%
1977,23.08%
1976,-4.06%
1975,-25.20%
1974,67.04%
1973,73.49%
1972,48.74%
1971,16.37%
1970,6.16%
1969,-16.07%
