Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
01.08.2018;2.821,17;2.825,83;2.805,85;2.813,36;2.200.609.136
02.08.2018;2.800,48;2.829,91;2.796,34;2.827,22;2.040.386.957
03.08.2018;2.829,62;2.840,38;2.827,37;2.840,35;1.829.936.668
06.08.2018;2.840,29;2.853,29;2.835,98;2.850,40;1.755.402.887
07.08.2018;2.855,92;2.863,43;2.855,92;2.858,45;1.792.641.161
08.08.2018;2.856,79;2.862,44;2.853,09;2.857,70;1.624.654.644
09.08.2018;2.857,19;2.862,48;2.851,98;2.853,58;1.670.803.074
10.08.2018;2.839,64;2.842,20;2.825,81;2.833,28;1.817.775.083
13.08.2018;2.835,46;2.843,40;2.819,88;2.821,93;1.852.090.896
14.08.2018;2.827,88;2.843,11;2.826,58;2.839,96;1.733.260.850
15.08.2018;2.827,95;2.827,95;2.802,49;2.818,37;2.170.175.043
16.08.2018;2.831,44;2.850,49;2.831,44;2.840,69;1.990.092.035
17.08.2018;2.838,32;2.855,63;2.833,73;2.850,13;1.897.228.859
20.08.2018;2.853,93;2.859,76;2.850,62;2.857,05;1.673.590.011
21.08.2018;2.861,51;2.873,23;2.861,32;2.862,96;1.897.094.700
22.08.2018;2.860,99;2.867,54;2.856,05;2.861,82;1.583.705.458
23.08.2018;2.860,29;2.868,78;2.854,03;2.856,98;1.653.913.646
24.08.2018;2.862,35;2.876,16;2.862,35;2.874,69;1.675.497.534
27.08.2018;2.884,69;2.898,25;2.884,69;2.896,74;2.055.945.918
28.08.2018;2.901,45;2.903,77;2.893,50;2.897,52;1.788.301.628
29.08.2018;2.900,62;2.916,50;2.898,40;2.914,04;1.761.496.009
30.08.2018;2.908,94;2.912,46;2.895,22;2.901,13;1.725.979.535
31.08.2018;2.898,37;2.906,32;2.891,73;2.901,52;1.806.136.650
04.09.2018;2.896,96;2.900,18;2.885,13;2.896,72;1.952.726.439
05.09.2018;2.891,59;2.894,21;2.876,92;2.888,60;2.277.718.447
06.09.2018;2.888,64;2.892,05;2.867,29;2.878,05;2.025.172.933
07.09.2018;2.868,26;2.883,81;2.864,12;2.871,68;1.942.169.500
10.09.2018;2.881,39;2.886,93;2.875,94;2.877,13;1.762.586.061
11.09.2018;2.871,57;2.892,52;2.866,78;2.887,89;1.880.844.233
12.09.2018;2.888,29;2.894,65;2.879,20;2.888,92;2.063.572.613
13.09.2018;2.896,85;2.906,76;2.896,39;2.904,18;2.167.357.831
14.09.2018;2.906,38;2.908,30;2.895,77;2.904,98;1.896.515.785
17.09.2018;2.903,83;2.904,65;2.886,16;2.888,80;1.855.645.865
18.09.2018;2.890,74;2.911,17;2.890,43;2.904,31;1.947.735.430
19.09.2018;2.906,60;2.912,36;2.903,82;2.907,95;1.942.348.471
20.09.2018;2.919,73;2.934,80;2.919,73;2.930,75;2.102.348.032
21.09.2018;2.936,76;2.940,91;2.927,11;2.929,67;3.900.791.977
24.09.2018;2.921,83;2.923,79;2.912,63;2.919,37;2.105.481.492
25.09.2018;2.921,75;2.923,95;2.913,70;2.915,56;2.034.744.657
26.09.2018;2.916,98;2.931,15;2.903,28;2.905,97;2.053.174.998
27.09.2018;2.911,65;2.927,22;2.909,27;2.914,00;1.803.057.925
28.09.2018;2.910,03;2.920,53;2.907,50;2.913,98;2.193.939.787
01.10.2018;2.926,29;2.937,06;2.917,91;2.924,59;2.148.843.589
02.10.2018;2.923,80;2.931,42;2.919,37;2.923,43;2.060.042.938
03.10.2018;2.931,69;2.939,86;2.921,36;2.925,51;2.101.579.719
04.10.2018;2.919,35;2.919,78;2.883,92;2.901,61;2.105.861.176
05.10.2018;2.902,54;2.909,64;2.869,29;2.885,57;2.091.494.758
08.10.2018;2.877,53;2.889,45;2.862,08;2.884,43;2.013.126.777
09.10.2018;2.882,51;2.894,83;2.874,27;2.880,34;2.136.559.731
10.10.2018;2.873,90;2.874,02;2.784,86;2.785,68;2.895.006.266
11.10.2018;2.776,87;2.795,14;2.710,51;2.728,37;3.309.534.693
12.10.2018;2.770,54;2.775,77;2.729,44;2.767,13;2.665.303.068
15.10.2018;2.763,83;2.775,99;2.749,03;2.750,79;2.023.151.751
16.10.2018;2.767,05;2.813,46;2.766,91;2.809,92;2.137.274.737
17.10.2018;2.811,67;2.816,94;2.781,81;2.809,21;2.120.418.821
18.10.2018;2.802,00;2.806,04;2.755,18;2.768,78;2.330.696.322
19.10.2018;2.775,66;2.797,77;2.760,27;2.767,78;2.467.481.149
22.10.2018;2.773,94;2.778,94;2.749,22;2.755,88;2.219.051.310
23.10.2018;2.721,03;2.753,59;2.691,43;2.740,69;2.810.569.394
24.10.2018;2.737,87;2.742,59;2.651,89;2.656,10;3.140.536.420
25.10.2018;2.674,88;2.722,70;2.667,84;2.705,57;3.062.113.911
26.10.2018;2.667,86;2.692,38;2.628,16;2.658,69;3.296.391.591
29.10.2018;2.682,65;2.706,85;2.603,54;2.641,25;2.965.731.958
30.10.2018;2.640,68;2.685,43;2.635,34;2.682,63;3.337.205.289
31.10.2018;2.705,60;2.736,69;2.705,60;2.711,74;3.254.301.594
01.11.2018;2.717,58;2.741,67;2.708,85;2.740,37;2.791.011.643
02.11.2018;2.745,45;2.756,55;2.700,44;2.723,06;2.848.403.388
05.11.2018;2.726,37;2.744,27;2.717,94;2.738,31;2.194.666.735
